match_id,season,venue,team1,team2,toss_winner,toss_decision,winner
26,2017/18,Casey Fields No. 4,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers
23,2023/24,"Casey Fields No 4, Melbourne",Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Sydney Thunder
3,2023/24,"University of Tasmania Stadium, Launceston",Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,field,Perth Scorchers
37,2021/22,"Karen Rolton Oval, Adelaide",Sydney Sixers,Brisbane Heat,Sydney Sixers,bat,Brisbane Heat
7,2017/18,North Dalton Park,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
22,2022/23,"Eastern Oval, Ballarat",Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
24,2020/21,North Sydney Oval,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
22,2024/25,Sydney Cricket Ground,Sydney Thunder,Sydney Sixers,Sydney Thunder,bat,Sydney Thunder
21,2016/17,Allan Border Field,Brisbane Heat,Melbourne Stars,Brisbane Heat,bat,Brisbane Heat
37,2018/19,Aurora Stadium,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Brisbane Heat
31,2022/23,"Lilac Hill Park, Perth",Sydney Sixers,Perth Scorchers,Sydney Sixers,bat,Perth Scorchers
19,2023/24,"Junction Oval, Melbourne",Sydney Thunder,Melbourne Renegades,Sydney Thunder,bat,Sydney Thunder
24,2022/23,"Eastern Oval, Ballarat",Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Sydney Sixers
28,2016/17,Adelaide Oval,Sydney Sixers,Adelaide Strikers,Sydney Sixers,bat,Sydney Sixers
39,2023/24,"Allan Border Field, Brisbane",Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Brisbane Heat
46,2020/21,Sydney Showground Stadium,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
36,2021/22,"Western Australia Cricket Association Ground, Perth",Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers
38,2020/21,Sydney Showground Stadium,Perth Scorchers,Sydney Thunder,Perth Scorchers,bat,Perth Scorchers
23,2022/23,"Allan Border Field, Brisbane",Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,Perth Scorchers
53,2020/21,Drummoyne Oval,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
23,2018/19,Karen Rolton Oval,Melbourne Stars,Adelaide Strikers,Melbourne Stars,field,Melbourne Stars
5,2024/25,"North Sydney Oval, Sydney",Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Adelaide Strikers
19,2018/19,Geelong Cricket Ground,Melbourne Renegades,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat
35,2019/20,Nuriootpa Centennial Park,Melbourne Stars,Adelaide Strikers,Melbourne Stars,field,Adelaide Strikers
2020-11-26,2020/21,North Sydney Oval,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Sydney Thunder
55,2019/20,Junction Oval,Melbourne Stars,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
7,2018/19,Junction Oval,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Renegades
36,2023/24,"Junction Oval, Melbourne",Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Perth Scorchers
56,2019/20,Lilac Hill Park,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,field,Perth Scorchers
2,2021/22,"Bellerive Oval, Hobart",Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,bat,Melbourne Renegades
53,2023/24,Adelaide Oval,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
56,2016/17,Bellerive Oval,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,bat,Hobart Hurricanes
54,2017/18,Camberwell Sports Ground,Melbourne Renegades,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
54,2021/22,"Ray Mitchell Oval, Harrup Park, Mackay",Brisbane Heat,Melbourne Renegades,Brisbane Heat,bat,Brisbane Heat
55,2018/19,"Simonds Stadium, South Geelong, Victoria",Melbourne Renegades,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers
40,2024/25,"Allan Border Field, Brisbane",Sydney Sixers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
26,2021/22,"Lilac Hill Park, Perth",Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
27,2016/17,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,Melbourne Stars,bat,Melbourne Renegades
40,2020/21,Drummoyne Oval,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,bat,Brisbane Heat
24,2019/20,Junction Oval,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,field,Melbourne Renegades
13,2016/17,W.A.C.A. Ground,Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
48,2023/24,"Cricket Central, Sydney",Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Strikers
25,2018/19,W.A.C.A. Ground,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
35,2016/17,Docklands Stadium,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
2019-01-19,2018/19,Drummoyne Oval,Sydney Thunder,Brisbane Heat,Sydney Thunder,field,Brisbane Heat
11,2023/24,"Cricket Central, Sydney",Melbourne Renegades,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
18,2022/23,"Allan Border Field, Brisbane",Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,Brisbane Heat
13,2018/19,Casey Fields No. 4,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
27,2015/16,W.A.C.A. Ground,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2,2018/19,Junction Oval,Sydney Sixers,Melbourne Stars,Sydney Sixers,bat,Melbourne Stars
52,2023/24,Adelaide Oval,Brisbane Heat,Sydney Thunder,Brisbane Heat,bat,Brisbane Heat
4,2019/20,Junction Oval,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,Hobart Hurricanes
18,2019/20,W.A.C.A. Ground,Melbourne Renegades,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
11,2024/25,"Junction Oval, Melbourne",Perth Scorchers,Melbourne Renegades,Perth Scorchers,bat,Melbourne Renegades
28,2023/24,"Jubilee Park, Ringwood, Melbourne",Sydney Sixers,Melbourne Stars,Melbourne Stars,field,Sydney Sixers
52,2016/17,Bellerive Oval,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
16,2019/20,W.A.C.A. Ground,Perth Scorchers,Melbourne Renegades,Perth Scorchers,field,Perth Scorchers
10,2023/24,"Western Australia Cricket Association Ground, Perth",Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers
14,2017/18,Camberwell Sports Ground,Melbourne Renegades,Brisbane Heat,Brisbane Heat,field,Melbourne Renegades
37,2023/24,"Junction Oval, Melbourne",Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Stars
16,2018/19,Casey Fields No. 4,Melbourne Stars,Perth Scorchers,Melbourne Stars,field,Melbourne Stars
14,2019/20,Allan Border Field,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,field,Brisbane Heat
14,2021/22,"Invermay Park, Launceston",Brisbane Heat,Adelaide Strikers,Adelaide Strikers,field,Brisbane Heat
7,2022/23,"Blacktown International Sportspark, Sydney",Sydney Thunder,Perth Scorchers,Sydney Thunder,bat,Perth Scorchers
47,2023/24,"Junction Oval, Melbourne",Melbourne Stars,Brisbane Heat,Melbourne Stars,bat,Melbourne Stars
27,2021/22,"Aurora Stadium, Launceston",Brisbane Heat,Melbourne Stars,Brisbane Heat,bat,Melbourne Stars
16,2020/21,Drummoyne Oval,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
31,2021/22,"Karen Rolton Oval, Adelaide",Melbourne Renegades,Brisbane Heat,Brisbane Heat,field,Melbourne Renegades
36,2019/20,Drummoyne Oval,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
3,2021/22,"Bellerive Oval, Hobart",Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Strikers
22,2019/20,Harrup Park,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,bat,Brisbane Heat
3,2017/18,North Sydney Oval,Sydney Sixers,Melbourne Stars,Melbourne Stars,field,Sydney Sixers
23,2020/21,North Sydney Oval,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,bat,Sydney Sixers
18,2017/18,W.A.C.A. Ground,Melbourne Stars,Perth Scorchers,Melbourne Stars,bat,Melbourne Stars
29,2016/17,Blacktown International Sportspark,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Sydney Thunder
42,2020/21,Sydney Showground Stadium,Sydney Sixers,Brisbane Heat,Sydney Sixers,bat,Brisbane Heat
29,2024/25,Adelaide Oval,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Adelaide Strikers
26,2016/17,Adelaide Oval,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,bat,Perth Scorchers
56,2015/16,Adelaide Oval No. 2,Melbourne Renegades,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
4,2024/25,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Thunder,Sydney Thunder,field,Hobart Hurricanes
20,2024/25,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Adelaide Strikers,Adelaide Strikers,field,Brisbane Heat
4,2016/17,North Sydney Oval No.2,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
16,2023/24,"Karen Rolton Oval, Adelaide",Adelaide Strikers,Brisbane Heat,Adelaide Strikers,bat,Adelaide Strikers
46,2016/17,Lilac Hill Park,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,Perth Scorchers
18,2020/21,Blacktown International Sportspark,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
26,2024/25,"North Sydney Oval, Sydney",Brisbane Heat,Sydney Sixers,Brisbane Heat,bat,Brisbane Heat
9,2021/22,"Bellerive Oval, Hobart",Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Melbourne Stars
56,2022/23,"North Sydney Oval, Sydney",Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Strikers
2019-12-07,2019/20,Allan Border Field,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,field,Adelaide Strikers
21,2024/25,Sydney Cricket Ground,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,field,Hobart Hurricanes
21,2021/22,"Lilac Hill Park, Perth",Melbourne Renegades,Sydney Sixers,Sydney Sixers,field,Melbourne Renegades
8,2019/20,Junction Oval,Melbourne Renegades,Perth Scorchers,Melbourne Renegades,field,Melbourne Renegades
8,2022/23,"Blacktown International Sportspark, Sydney",Hobart Hurricanes,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
10,2022/23,"Blacktown International Sportspark, Sydney",Hobart Hurricanes,Sydney Thunder,Sydney Thunder,field,Hobart Hurricanes
16,2021/22,"Aurora Stadium, Launceston",Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Perth Scorchers
18,2024/25,"Junction Oval, Melbourne",Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
7,2024/25,"North Sydney Oval, Sydney",Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Thunder
50,2016/17,Lilac Hill Park,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Perth Scorchers
11,2019/20,Hurstville Oval,Sydney Sixers,Melbourne Stars,Melbourne Stars,bat,Sydney Sixers
8,2020/21,"North Sydney Oval, Sydney",Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2024-11-27,2024/25,"Drummoyne Oval, Sydney",Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,bat,Sydney Thunder
55,2023/24,Sydney Cricket Ground,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,field,Adelaide Strikers
43,2021/22,"Ray Mitchell Oval, Harrup Park, Mackay",Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,field,Adelaide Strikers
29,2022/23,"Bellerive Oval, Hobart",Brisbane Heat,Sydney Thunder,Brisbane Heat,bat,Brisbane Heat
51,2022/23,"North Sydney Oval, Sydney",Sydney Sixers,Sydney Thunder,Sydney Thunder,field,Sydney Sixers
37,2024/25,"Junction Oval, Melbourne",Sydney Thunder,Melbourne Renegades,Sydney Thunder,bat,Melbourne Renegades
41,2022/23,"Karen Rolton Oval, Adelaide",Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
49,2023/24,"Allan Border Field, Brisbane",Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
29,2018/19,Sydney Showground Stadium,Sydney Thunder,Hobart Hurricanes,Sydney Thunder,field,Sydney Thunder
30,2017/18,Bellerive Oval,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Brisbane Heat
1,2022/23,"Ray Mitchell Oval, Harrup Park, Mackay",Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
2021-11-27,2021/22,Perth Stadium,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,field,Perth Scorchers
37,2020/21,Drummoyne Oval,Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Adelaide Strikers
9,2019/20,Allan Border Field,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,field,Adelaide Strikers
5,2022/23,"Great Barrier Reef Arena, Mackay",Adelaide Strikers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
49,2018/19,Karen Rolton Oval,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Adelaide Strikers
48,2016/17,Bellerive Oval,Sydney Thunder,Hobart Hurricanes,Sydney Thunder,bat,Hobart Hurricanes
44,2023/24,"Cricket Central, Sydney",Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
28,2024/25,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,bat,Melbourne Renegades
