match_id,inning,batting_team,wides,noballs,byes,legbyes
2011-12-22,1,Melbourne Renegades,8,0,0,1
2011-12-22,2,Perth Scorchers,3,1,4,2
30,1,Sydney Thunder,0,1,0,3
30,2,Perth Scorchers,9,0,0,10
2014-01-16,1,Perth Scorchers,9,0,0,0
2014-01-16,2,Adelaide Strikers,3,1,0,2
2013-12-20,1,Melbourne Stars,1,2,1,1
2013-12-20,2,Melbourne Renegades,4,0,0,0
2023-01-28,1,Sydney Sixers,4,0,0,4
2023-01-28,2,Perth Scorchers,3,0,0,1
2014-01-05,1,Adelaide Strikers,7,0,0,2
2014-01-05,2,Sydney Sixers,4,0,0,1
23,1,Melbourne Renegades,0,0,0,5
23,2,Melbourne Stars,1,1,0,1
9,1,Adelaide Strikers,4,0,0,1
9,2,Brisbane Heat,1,0,0,0
22,1,Adelaide Strikers,4,0,0,2
22,2,Sydney Sixers,4,0,0,1
2014-01-25,1,Sydney Thunder,9,0,0,2
2014-01-25,2,Sydney Sixers,3,0,0,8
2011-12-20,1,Melbourne Stars,3,0,0,2
2011-12-20,2,Brisbane Heat,6,1,0,3
2014-01-07,1,Perth Scorchers,3,1,0,1
2014-01-07,2,Hobart Hurricanes,10,0,2,10
16,1,Melbourne Stars,4,0,1,1
16,2,Sydney Thunder,8,1,2,8
2020-02-01,1,Sydney Thunder,5,0,0,1
2020-02-01,2,Adelaide Strikers,10,0,0,0
28,1,Hobart Hurricanes,5,0,0,1
28,2,Adelaide Strikers,5,1,0,3
2013-12-22,1,Perth Scorchers,5,0,0,2
2013-12-22,2,Brisbane Heat,4,2,0,4
35,1,Melbourne Stars,4,0,0,6
35,2,Hobart Hurricanes,4,0,0,3
39,1,Perth Scorchers,2,1,0,3
39,2,Sydney Sixers,5,1,0,1
2012-01-19,1,Adelaide Strikers,0,0,1,2
2012-01-19,2,Melbourne Stars,8,0,0,6
31,1,Adelaide Strikers,1,1,0,4
31,2,Hobart Hurricanes,5,3,5,7
32,1,Hobart Hurricanes,4,0,0,2
32,2,Melbourne Renegades,5,0,0,0
38,1,Brisbane Heat,9,0,0,3
38,2,Melbourne Renegades,2,1,4,1
2012-12-30,1,Sydney Thunder,4,1,4,1
2012-12-30,2,Sydney Sixers,3,0,0,1
52,1,Perth Scorchers,3,2,0,1
52,2,Melbourne Renegades,4,2,1,5
25,1,Perth Scorchers,7,0,0,4
25,2,Adelaide Strikers,4,0,0,1
25,1,Sydney Thunder,8,1,0,4
25,2,Brisbane Heat,2,2,0,2
36,1,Melbourne Stars,0,0,0,0
36,2,Melbourne Renegades,1,1,0,3
33,1,Melbourne Stars,6,0,0,1
33,2,Sydney Thunder,3,0,0,9
2014-01-14,1,Melbourne Renegades,6,0,0,0
2014-01-14,2,Sydney Thunder,1,0,1,2
2014-01-22,1,Melbourne Renegades,8,0,1,1
2014-01-22,2,Adelaide Strikers,5,0,0,3
52,1,Melbourne Renegades,1,0,1,2
52,2,Sydney Sixers,5,0,0,1
2014-12-27,1,Sydney Sixers,6,0,2,15
2014-12-27,2,Sydney Thunder,7,0,0,4
2014-01-04,1,Melbourne Renegades,2,1,0,5
2014-01-04,2,Melbourne Stars,6,0,0,2
19,1,Hobart Hurricanes,7,3,0,1
19,2,Melbourne Stars,3,1,0,1
2,1,Perth Scorchers,3,1,0,0
2,2,Sydney Sixers,4,0,0,1
2013-01-16,1,Melbourne Stars,1,3,0,2
2013-01-16,2,Perth Scorchers,1,2,4,3
2011-12-16,1,Brisbane Heat,5,0,0,2
2011-12-16,2,Sydney Sixers,2,0,0,0
20,1,Melbourne Renegades,2,0,0,1
20,2,Sydney Sixers,1,0,1,1
2015-01-01,1,Sydney Thunder,1,1,0,1
2015-01-01,2,Perth Scorchers,7,2,0,2
2012-12-29,1,Perth Scorchers,3,0,0,1
2012-12-29,2,Melbourne Renegades,8,0,0,1
3,1,Hobart Hurricanes,2,0,0,0
3,2,Melbourne Renegades,7,2,0,1
2024-01-22,1,Brisbane Heat,4,0,0,4
2024-01-22,2,Adelaide Strikers,0,0,0,2
50,1,Brisbane Heat,4,1,0,5
50,2,Melbourne Stars,5,0,0,1
14,1,Sydney Thunder,10,0,0,6
14,2,Brisbane Heat,8,0,1,1
10,1,Perth Scorchers,2,0,0,8
10,2,Melbourne Renegades,7,1,0,1
7,1,Melbourne Stars,4,0,0,3
7,2,Hobart Hurricanes,6,0,0,1
49,1,Brisbane Heat,6,0,0,1
49,2,Sydney Sixers,3,0,0,8
2011-12-23,1,Adelaide Strikers,3,1,1,3
2011-12-23,2,Sydney Thunder,0,0,4,4
4,1,Sydney Sixers,5,0,4,3
4,2,Hobart Hurricanes,2,0,2,3
2015-01-24,1,Sydney Sixers,2,0,0,0
2015-01-24,2,Adelaide Strikers,0,0,0,0
14,1,Adelaide Strikers,2,1,0,2
14,2,Hobart Hurricanes,3,1,11,0
2011-12-18,1,Hobart Hurricanes,5,2,0,3
2011-12-18,2,Perth Scorchers,5,0,0,2
6,1,Adelaide Strikers,1,1,0,0
6,2,Melbourne Renegades,1,1,0,6
36,1,Melbourne Stars,7,0,6,4
36,2,Sydney Sixers,5,0,0,2
4,1,Melbourne Stars,10,0,0,7
4,2,Hobart Hurricanes,3,0,0,7
24,1,Sydney Thunder,8,2,0,6
